"","x","y","na.x","size","vertex.names","xend","yend","na.y"
"1",0.508296398100024,0,FALSE,5,"I",0.508296398100024,0,NA
"2",0.431309211464013,0.172402290418859,FALSE,7,"IV",0.431309211464013,0.172402290418859,NA
"3",0.670618089499842,0.311945983642191,FALSE,6,"vii¼",0.670618089499842,0.311945983642191,NA
"4",0.539689340069768,0.676025408374601,FALSE,4,"iii",0.539689340069768,0.676025408374601,NA
"5",0.265664398891583,0.476043128160373,FALSE,6,"vi",0.265664398891583,0.476043128160373,NA
"6",0.147336743509294,0.244730108158463,FALSE,3,"ii",0.147336743509294,0.244730108158463,NA
"7",0.472513043559776,0.552065660507122,FALSE,3,"ii¼",0.472513043559776,0.552065660507122,NA
"8",0.482085003532889,0.287099970404356,FALSE,11,"V",0.482085003532889,0.287099970404356,NA
"9",0.748932059966731,0.197324203766395,FALSE,8,"i",0.748932059966731,0.197324203766395,NA
"10",0.711345181081307,0.0229156034269091,FALSE,4,"iv",0.711345181081307,0.0229156034269091,NA
"11",0.993051411617389,0.365939988303467,FALSE,2,"III",0.993051411617389,0.365939988303467,NA
"12",0.769275562758123,0.517906141366899,FALSE,6,"bVI",0.769275562758123,0.517906141366899,NA
"13",0.513753904948199,1,FALSE,1,"V/ii",0.513753904948199,1,NA
"14",0,0.642586694192615,FALSE,1,"V/V",0,0.642586694192615,NA
"15",1,0.764060038459794,FALSE,1,"bVII",1,0.764060038459794,NA
"210",0.147336743509294,0.244730108158463,FALSE,3,"ii",0.482085003532889,0.287099970404356,FALSE
"37",0.265664398891583,0.476043128160373,FALSE,6,"vi",0.431309211464013,0.172402290418859,FALSE
"41",0.265664398891583,0.476043128160373,FALSE,6,"vi",0.147336743509294,0.244730108158463,FALSE
"51",0.265664398891583,0.476043128160373,FALSE,6,"vi",0.472513043559776,0.552065660507122,FALSE
"61",0.265664398891583,0.476043128160373,FALSE,6,"vi",0,0.642586694192615,FALSE
"71",0.431309211464013,0.172402290418859,FALSE,7,"IV",0.508296398100024,0,FALSE
"81",0.431309211464013,0.172402290418859,FALSE,7,"IV",0.670618089499842,0.311945983642191,FALSE
"91",0.431309211464013,0.172402290418859,FALSE,7,"IV",0.482085003532889,0.287099970404356,FALSE
"101",0.431309211464013,0.172402290418859,FALSE,7,"IV",0.748932059966731,0.197324203766395,FALSE
"111",0.472513043559776,0.552065660507122,FALSE,3,"ii¼",0.482085003532889,0.287099970404356,FALSE
"121",0.482085003532889,0.287099970404356,FALSE,11,"V",0.508296398100024,0,FALSE
"131",0.482085003532889,0.287099970404356,FALSE,11,"V",0.265664398891583,0.476043128160373,FALSE
"141",0.482085003532889,0.287099970404356,FALSE,11,"V",0.147336743509294,0.244730108158463,FALSE
"151",0.482085003532889,0.287099970404356,FALSE,11,"V",0.748932059966731,0.197324203766395,FALSE
"16",0.482085003532889,0.287099970404356,FALSE,11,"V",0.769275562758123,0.517906141366899,FALSE
"17",0.508296398100024,0,FALSE,5,"I",0.431309211464013,0.172402290418859,FALSE
"18",0.508296398100024,0,FALSE,5,"I",0.482085003532889,0.287099970404356,FALSE
"20",0.539689340069768,0.676025408374601,FALSE,4,"iii",0.265664398891583,0.476043128160373,FALSE
"21",0.539689340069768,0.676025408374601,FALSE,4,"iii",0.769275562758123,0.517906141366899,FALSE
"22",0.539689340069768,0.676025408374601,FALSE,4,"iii",0.513753904948199,1,FALSE
"23",0.670618089499842,0.311945983642191,FALSE,6,"vii¼",0.508296398100024,0,FALSE
"24",0.670618089499842,0.311945983642191,FALSE,6,"vii¼",0.539689340069768,0.676025408374601,FALSE
"25",0.670618089499842,0.311945983642191,FALSE,6,"vii¼",0.748932059966731,0.197324203766395,FALSE
"26",0.670618089499842,0.311945983642191,FALSE,6,"vii¼",0.993051411617389,0.365939988303467,FALSE
"27",0.711345181081307,0.0229156034269091,FALSE,4,"iv",0.670618089499842,0.311945983642191,FALSE
"28",0.711345181081307,0.0229156034269091,FALSE,4,"iv",0.482085003532889,0.287099970404356,FALSE
"29",0.711345181081307,0.0229156034269091,FALSE,4,"iv",0.748932059966731,0.197324203766395,FALSE
"30",0.748932059966731,0.197324203766395,FALSE,8,"i",0.431309211464013,0.172402290418859,FALSE
"31",0.748932059966731,0.197324203766395,FALSE,8,"i",0.482085003532889,0.287099970404356,FALSE
"32",0.748932059966731,0.197324203766395,FALSE,8,"i",0.711345181081307,0.0229156034269091,FALSE
"33",0.748932059966731,0.197324203766395,FALSE,8,"i",0.769275562758123,0.517906141366899,FALSE
"34",0.769275562758123,0.517906141366899,FALSE,6,"bVI",0.472513043559776,0.552065660507122,FALSE
"35",0.769275562758123,0.517906141366899,FALSE,6,"bVI",1,0.764060038459794,FALSE
"36",0.993051411617389,0.365939988303467,FALSE,2,"III",0.769275562758123,0.517906141366899,FALSE
