"","time","chord_named","tran_chord_named","roman_num","norm_roman_num","one_lag_tran","two_lag_tran","three_lag_tran","four_lag_tran","composer","piece","Tonality","Type"
"38",21480,"Ddim","Ddim","iiº","iiº","Fmin","Gmin","Dmaj",NA,"Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"39",21720,"Gmin","Gmin","ii/IV","ii/IV","Ddim","Fmin","Gmin","Dmaj","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"40",21780,"Fmin","Fmin","iv","iv","Gmin","Ddim","Fmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"41",21840,"Ddim","Ddim","iiº","iiº","Fmin","Gmin","Ddim","Fmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"42",22020,"Ddim","Ddim","iiº","iiº","Ddim","Fmin","Gmin","Ddim","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"43",22080,"Gmin","Gmin","ii/IV","ii/IV","Ddim","Ddim","Fmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"44",22140,"Fmin","Fmin","iv","iv","Gmin","Ddim","Ddim","Fmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"45",22320,"Gmin","Gmin","ii/IV","ii/IV","Fmin","Gmin","Ddim","Ddim","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"46",22380,"Fmin","Fmin","iv","iv","Gmin","Fmin","Gmin","Ddim","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"47",22440,"Ddim","Ddim","iiº","iiº","Fmin","Gmin","Fmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"48",22560,"Cmin","Cmin","i","i","Ddim","Fmin","Gmin","Fmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"49",22650,"Gmin","Gmin","ii/IV","ii/IV","Cmin","Ddim","Fmin","Gmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"50",47400,"Gmin7","Gmin7","ii7/IV","ii/IV","Gmin","Cmin","Ddim","Fmin","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
"51",48120,"Gmin7","Gmin7","ii7/IV","ii/IV","Gmin7","Gmin","Cmin","Ddim","Dvorak","Rusalka, 5.Ballet: Slavnostní hudba (Polonaise)","Minor","Ballet"
